Date,Open,High,Low,Close,Adjusted_close,Volume
2018-01-02,100.1875,100.3121,99.586,99.7588,99.7588,1250204
2018-01-03,99.914,101.603,99.7772,101.0269,101.0269,891676
2018-01-04,101.2117,102.5773,100.2409,101.6318,101.6318,1312830
2018-01-05,101.6147,102.307,101.2558,102.0147,102.0147,911903
2018-01-08,102.6571,102.9714,100.649,101.316,101.316,1399864
2018-01-09,101.2765,101.6285,100.8357,100.9737,100.9737,1492952
2018-01-10,101.4257,101.8764,100.3021,100.4373,100.4373,2352773
2018-01-11,100.9183,102.0364,100.3532,100.531,100.531,1500209
2018-01-12,100.5081,101.9376,100.0504,101.123,101.123,753655
2018-01-15,101.2573,102.8468,100.5338,102.7793,102.7793,1750575
2018-01-16,102.3027,102.8542,102.0038,102.3097,102.3097,1140613
2018-01-17,102.5267,105.0753,101.1067,103.9886,103.9886,1637674
2018-01-18,104.3613,104.9937,102.6678,102.7567,102.7567,929126
2018-01-19,102.9899,104.9146,102.6796,104.6161,104.6161,671995
2018-01-22,104.8193,106.9115,104.454,105.7633,105.7633,927227
2018-01-23,106.3877,106.7107,104.2044,104.2906,104.2906,900509
2018-01-24,104.7287,105.1097,104.2322,104.4705,104.4705,669539
2018-01-25,104.8331,105.6781,103.2518,103.505,103.505,1236504
2018-01-26,103.3919,104.1908,102.7929,103.3768,103.3768,1063551
2018-01-29,103.7024,104.909,103.6212,104.7102,104.7102,947355
2018-01-30,104.8167,105.1469,104.5488,104.5493,104.5493,782511
2018-01-31,104.6738,107.1816,104.4593,106.9301,106.9301,926808
2018-02-01,107.0814,108.1634,105.0742,106.5776,106.5776,1149439
2018-02-02,106.6708,107.3424,106.2864,107.0884,107.0884,1573965
2018-02-05,107.2279,110.369,107.1692,110.0336,110.0336,1239785
2018-02-06,109.8371,110.4464,106.1368,106.8233,106.8233,928343
2018-02-07,107.4074,108.8868,107.1986,107.8773,107.8773,1034635
2018-02-08,106.8161,109.8784,105.9657,109.2243,109.2243,2784997
2018-02-09,109.7028,109.7929,109.3645,109.4796,109.4796,767162
2018-02-12,110.0951,110.73,109.2401,109.4169,109.4169,1965807
2018-02-13,109.6997,109.8338,109.2351,109.6201,109.6201,2824919
2018-02-14,109.233,111.0317,108.3498,110.4083,110.4083,1670862
2018-02-15,111.0518,111.9325,110.0987,111.3871,111.3871,2054846
2018-02-16,111.9616,112.0209,108.6791,109.0406,109.0406,889573
2018-02-19,108.6327,111.5897,107.7441,110.8967,110.8967,957960
2018-02-20,110.9472,111.9519,110.7865,111.0817,111.0817,1582956
2018-02-21,111.4152,111.6095,108.5169,108.8829,108.8829,945191
2018-02-22,109.4125,109.4494,108.3973,109.0211,109.0211,999314
2018-02-23,108.588,109.7603,106.209,106.8371,106.8371,1205514
2018-02-26,106.8259,107.1735,106.5171,106.6541,106.6541,784624
2018-02-27,106.1615,106.79,105.5347,106.4647,106.4647,1434541
2018-02-28,106.7742,107.6987,106.3013,107.6942,107.6942,1757692
2018-03-01,107.4418,107.9871,105.5703,105.8997,105.8997,1405874
2018-03-02,105.8541,106.5409,103.9633,104.1719,104.1719,929459
2018-03-05,103.4301,103.8931,103.2734,103.4807,103.4807,2470291
2018-03-06,103.3067,104.2995,102.8819,103.854,103.854,817268
2018-03-07,104.1053,105.6927,102.912,105.431,105.431,521627
2018-03-08,105.2495,106.3727,104.1127,105.1293,105.1293,1049510
2018-03-09,105.0829,107.7079,104.5613,107.3765,107.3765,1222248
2018-03-12,107.7014,107.7864,107.5857,107.766,107.766,1285021
2018-03-13,107.8062,109.3825,107.3072,108.8717,108.8717,831287
2018-03-14,109.0425,110.9929,108.7291,110.9517,110.9517,658527
2018-03-15,110.6661,112.2056,109.5648,111.3935,111.3935,1413672
2018-03-16,111.4684,112.0407,110.8712,111.7957,111.7957,1914670
2018-03-19,112.2012,115.0967,111.7012,113.9554,113.9554,1146242
2018-03-20,113.6428,113.6797,111.0041,111.3242,111.3242,1232126
2018-03-21,111.478,112.3247,111.3498,111.9319,111.9319,998858
2018-03-22,111.5929,112.4232,111.5927,112.0375,112.0375,1080644
2018-03-23,112.1098,112.1926,111.306,112.0817,112.0817,801534
2018-03-26,112.0039,112.9406,111.4091,112.6639,112.6639,1177920
2018-03-27,112.9696,113.6431,109.9484,111.5613,111.5613,631854
2018-03-28,111.0011,111.6048,110.6831,111.1381,111.1381,984181
2018-03-29,111.534,113.8622,110.8697,113.2247,113.2247,987103
2018-03-30,113.6685,114.0413,112.3373,112.9013,112.9013,981542
2018-04-02,112.904,114.904,112.7875,114.1711,114.1711,794679
2018-04-03,114.1813,115.7455,113.8423,115.2047,115.2047,1009440
2018-04-04,114.9391,114.9422,113.0047,113.922,113.922,1074635
2018-04-05,113.8992,114.8263,113.0117,114.6799,114.6799,2474879
2018-04-06,113.9148,114.9837,113.3289,114.4922,114.4922,1224657
2018-04-09,113.7525,116.4929,113.0861,115.3349,115.3349,1810738
2018-04-10,115.4405,115.8431,114.9756,115.4212,115.4212,1339617
2018-04-11,114.9656,115.017,114.1253,114.1287,114.1287,2707409
2018-04-12,114.119,114.2442,112.4377,112.6305,112.6305,1494473
2018-04-13,112.7768,113.6029,112.3599,113.5481,113.5481,1194543
2018-04-16,113.6312,113.7233,110.8831,111.7296,111.7296,1337339
2018-04-17,111.9803,112.3636,111.456,112.3411,112.3411,1260584
2018-04-18,112.4624,113.748,111.6246,113.2977,113.2977,1425489
2018-04-19,113.2496,113.5555,111.9003,111.9653,111.9653,1685130
2018-04-20,111.8333,115.6071,111.7584,114.9108,114.9108,1146896
2018-04-23,115.8952,116.1008,114.9065,115.7211,115.7211,717447
2018-04-24,115.6549,116.7448,114.9691,116.4188,116.4188,1190932
2018-04-25,116.43,118.4889,116.2646,117.9649,117.9649,825862
2018-04-26,118.7229,119.8113,117.0018,117.0135,117.0135,1566643
2018-04-27,116.7111,119.3363,116.4031,118.8955,118.8955,1040874
2018-04-30,118.8911,121.1508,118.3605,120.7011,120.7011,1022625
2018-05-01,121.2019,123.1402,119.6796,122.7891,122.7891,951440
2018-05-02,122.769,123.9507,120.7681,121.9666,121.9666,3393911
2018-05-03,121.7611,123.6449,121.5517,123.6037,123.6037,1607756
2018-05-04,122.952,123.7346,122.7432,123.686,123.686,1168133
2018-05-07,124.3961,124.9214,122.9996,123.0776,123.0776,1401572
2018-05-08,122.9183,123.1176,121.5184,121.864,121.864,1199514
2018-05-09,121.0297,126.0792,120.9168,125.7186,125.7186,953475
2018-05-10,125.8874,125.9239,124.9069,125.4391,125.4391,1837117
2018-05-11,124.9645,126.2072,124.5331,125.4862,125.4862,1058457
2018-05-14,125.6273,126.9242,125.555,126.5705,126.5705,1210194
2018-05-15,126.3248,127.3251,125.8043,127.2554,127.2554,1062214
2018-05-16,126.9967,130.0462,126.8916,129.9415,129.9415,2013735
2018-05-17,129.9368,131.2399,128.9072,129.9704,129.9704,875671
2018-05-18,129.8694,130.9355,127.4918,127.8961,127.8961,1848525
2018-05-21,128.0535,129.2455,125.942,126.2402,126.2402,1388055
2018-05-22,126.4941,127.7359,125.6801,127.0269,127.0269,1251936
2018-05-23,127.2412,127.3229,126.2617,126.3214,126.3214,934211
2018-05-24,126.1515,128.9173,125.6258,128.3201,128.3201,944371
2018-05-25,128.1401,130.5808,128.0017,130.5276,130.5276,1198328
2018-05-28,130.7054,131.5177,128.2033,129.6126,129.6126,992727
2018-05-29,129.3247,129.6645,128.1604,129.2754,129.2754,1207680
2018-05-30,129.1983,130.7619,128.7325,130.5404,130.5404,541436
2018-05-31,131.673,132.1393,129.5982,129.6104,129.6104,868329
2018-06-01,128.6121,129.0408,127.3502,127.9098,127.9098,731220
2018-06-04,127.3291,130.5934,124.9167,130.3243,130.3243,1870168
2018-06-05,131.3537,131.7126,131.1698,131.7083,131.7083,1442063
2018-06-06,132.017,132.0438,130.8028,130.8505,130.8505,952660
2018-06-07,130.7825,132.0973,130.6733,131.6161,131.6161,692878
2018-06-08,131.1542,133.1297,130.9053,132.3444,132.3444,406315
2018-06-11,132.777,133.0285,132.6678,132.8839,132.8839,868675
2018-06-12,132.7443,133.2378,132.6873,132.9811,132.9811,1772635
2018-06-13,131.9382,133.2906,131.4479,132.981,132.981,676077
2018-06-14,133.3389,134.5697,132.5293,132.5583,132.5583,2625481
2018-06-15,132.5207,132.9986,131.6973,132.9146,132.9146,1083841
2018-06-18,133.1568,133.5757,131.2328,131.4334,131.4334,2660284
2018-06-19,130.6889,133.0975,130.2891,132.5896,132.5896,990490
2018-06-20,132.3964,133.1587,131.245,132.7619,132.7619,999087
2018-06-21,132.8923,135.5893,131.0721,134.6386,134.6386,1008379
2018-06-22,134.9688,136.3347,134.1865,136.1309,136.1309,879602
2018-06-25,135.6182,135.6365,133.1289,134.5628,134.5628,1367351
2018-06-26,134.2166,135.9421,133.9256,135.2858,135.2858,1474750
2018-06-27,135.6579,136.5422,134.0887,135.358,135.358,1302425
2018-06-28,136.3006,136.8439,131.7396,131.7638,131.7638,2214499
2018-06-29,131.7511,133.8216,131.5395,132.4909,132.4909,769463
2018-07-02,132.7054,134.1936,132.5422,133.238,133.238,1924593
2018-07-03,132.8404,134.443,131.5757,134.3629,134.3629,1430594
2018-07-05,134.8257,135.1417,134.315,134.7033,134.7033,790288
2018-07-06,134.4318,135.0884,134.1322,134.1792,134.1792,1397461
2018-07-09,134.486,134.7476,132.9635,133.8541,133.8541,1025086
2018-07-10,133.6894,134.2746,132.5255,133.4952,133.4952,1103090
2018-07-11,134.628,134.9936,131.3985,132.2678,132.2678,1016684
2018-07-12,131.0355,135.9141,130.6748,135.5901,135.5901,1463729
2018-07-13,135.6296,140.1501,134.9925,138.8938,138.8938,694343
2018-07-16,138.9676,139.9314,137.9796,138.0692,138.0692,3506326
2018-07-17,138.444,140.5608,137.7895,139.9329,139.9329,856794
2018-07-18,139.7779,140.4701,136.0025,136.5533,136.5533,948080
2018-07-19,136.0758,140.7515,136.049,140.497,140.497,1939155
2018-07-20,140.0911,142.5471,139.6848,142.3382,142.3382,1547464
2018-07-23,142.9087,143.1472,139.4852,139.9151,139.9151,871328
2018-07-24,139.8585,140.2732,138.0734,138.4742,138.4742,585651
2018-07-25,138.3327,138.7502,138.0089,138.5495,138.5495,1399711
2018-07-26,138.2384,139.1194,137.216,137.6979,137.6979,1035744
2018-07-27,137.8759,138.9178,136.0718,136.2241,136.2241,1191328
2018-07-30,135.358,136.957,135.2367,136.5008,136.5008,1178106
2018-07-31,136.8845,138.3481,136.4414,137.6624,137.6624,1211377
2018-08-01,137.5043,137.6402,136.0048,137.3073,137.3073,1212664
2018-08-02,137.2952,137.6845,135.7756,135.8984,135.8984,2844249
2018-08-03,137.221,139.3174,137.1244,137.4263,137.4263,759698
2018-08-06,137.1302,137.9986,136.7641,137.5158,137.5158,1548651
2018-08-07,137.5,137.6529,133.6555,134.2124,134.2124,1209906
2018-08-08,134.284,136.1045,132.813,135.1807,135.1807,3909454
2018-08-09,135.9388,137.2076,135.3302,136.5151,136.5151,1391803
2018-08-10,136.0588,139.2863,135.3123,137.9109,137.9109,1393063
2018-08-13,137.5319,139.3143,137.4727,138.3177,138.3177,800148
2018-08-14,138.4299,138.4395,137.2505,137.4883,137.4883,1613723
2018-08-15,136.3752,137.3252,134.2185,134.7807,134.7807,1383686
2018-08-16,134.6972,135.0564,131.3447,131.7284,131.7284,1339035
2018-08-17,131.7359,133.6857,131.3138,133.1454,133.1454,763447
2018-08-20,132.9702,133.5611,131.7819,132.3622,132.3622,977901
2018-08-21,132.7541,135.0275,131.8319,134.1382,134.1382,1097511
2018-08-22,134.1893,136.9711,133.9276,136.3274,136.3274,1439237
2018-08-23,136.0147,138.6683,134.397,138.6527,138.6527,616652
2018-08-24,138.8613,140.0999,137.3056,137.7777,137.7777,710613
2018-08-27,137.7461,137.9282,135.2538,135.68,135.68,997558
2018-08-28,135.9932,139.0049,134.8327,138.7561,138.7561,1647291
2018-08-29,138.1984,138.779,137.8439,138.7248,138.7248,766155
2018-08-30,137.7999,137.942,137.2079,137.7867,137.7867,1283946
2018-08-31,137.1896,138.3887,136.1131,138.2841,138.2841,969694
2018-09-03,137.0649,138.215,136.3944,138.1987,138.1987,1773604
2018-09-04,139.3019,140.104,137.6233,138.4798,138.4798,1055364
2018-09-05,137.5313,138.6881,137.0644,137.5663,137.5663,1289450
2018-09-06,138.2505,139.7264,137.3382,138.1225,138.1225,1062301
2018-09-07,138.149,138.9958,137.1412,138.6146,138.6146,2009922
2018-09-10,138.8873,141.4816,137.8211,140.5494,140.5494,856465
2018-09-11,140.6376,141.7346,139.4817,140.9182,140.9182,2035598
2018-09-12,140.6053,140.8894,139.9071,140.1124,140.1124,1501753
2018-09-13,140.6017,141.1923,139.4113,139.4887,139.4887,711501
2018-09-14,139.8205,140.7076,138.4331,138.6355,138.6355,2261768
2018-09-17,138.737,141.4683,138.2261,140.2444,140.2444,842394
2018-09-18,140.1597,140.3779,139.0019,139.2566,139.2566,1566768
2018-09-19,139.2594,140.5085,137.1511,140.3456,140.3456,1168516
2018-09-20,140.8966,141.9656,139.6978,141.1252,141.1252,995514
2018-09-21,140.5477,141.4616,139.8471,140.6134,140.6134,2269285
2018-09-24,140.2654,140.8943,139.2192,139.6666,139.6666,914649
2018-09-25,139.3153,142.3751,138.2216,141.2049,141.2049,856721
2018-09-26,141.034,141.055,137.6312,138.7311,138.7311,1030535
2018-09-27,139.542,141.1101,138.4665,140.443,140.443,802865
2018-09-28,139.7728,141.4035,139.1635,140.7978,140.7978,1701113
2018-10-01,141.206,141.7604,139.7742,141.3261,141.3261,908158
2018-10-02,141.7868,142.2443,141.3396,141.4036,141.4036,1039738
2018-10-03,141.2734,145.5922,140.0854,143.9651,143.9651,771479
2018-10-04,143.8698,146.946,143.029,146.8556,146.8556,676120
2018-10-05,147.0834,147.9404,146.9462,147.7773,147.7773,863240
2018-10-08,147.1788,147.787,146.5038,147.1712,147.1712,646784
2018-10-09,147.6711,148.3924,144.5854,145.0476,145.0476,1472290
2018-10-10,145.2297,145.5154,142.49,144.0975,144.0975,2251290
2018-10-11,143.4598,146.153,142.7858,145.5981,145.5981,851554
2018-10-12,145.9193,147.286,144.6771,147.0278,147.0278,1354036
2018-10-15,147.3023,147.9027,144.9455,145.5136,145.5136,640840
2018-10-16,144.9925,148.0219,144.8546,145.8519,145.8519,600761
2018-10-17,146.6424,148.3196,146.2865,147.406,147.406,631955
2018-10-18,147.1869,148.3395,144.9055,144.9927,144.9927,1927972
2018-10-19,145.6829,145.9849,140.6599,141.8074,141.8074,881266
2018-10-22,142.851,145.3054,142.6395,145.1377,145.1377,929192
2018-10-23,145.184,147.9605,144.5922,146.8628,146.8628,1047494
2018-10-24,147.7371,148.6615,146.9819,147.3474,147.3474,455135
2018-10-25,147.5816,148.5481,145.5247,146.5377,146.5377,2149807
2018-10-26,146.6707,146.9832,142.5511,144.577,144.577,909800
2018-10-29,143.6909,146.5223,143.5595,145.8658,145.8658,1249008
2018-10-30,145.4329,147.057,144.9239,146.6808,146.6808,1073187
2018-10-31,146.8352,148.1269,145.795,145.8167,145.8167,985746
2018-11-01,146.3957,147.4286,144.7953,145.2896,145.2896,1427471
2018-11-02,144.8368,149.6368,144.3124,148.2049,148.2049,1319505
2018-11-05,148.3013,152.6783,147.7875,152.3243,152.3243,531209
2018-11-06,152.5885,153.8132,150.9983,151.8367,151.8367,1689583
2018-11-07,150.8088,151.1843,148.6392,150.1722,150.1722,611710
2018-11-08,149.998,151.5803,146.9543,147.5867,147.5867,1266000
2018-11-09,147.8817,148.1638,147.7219,147.7341,147.7341,1171280
2018-11-12,147.7686,149.339,145.5058,145.8992,145.8992,1143653
2018-11-13,145.0158,145.6032,143.8195,144.4047,144.4047,1557260
2018-11-14,144.5342,147.3908,142.8562,146.6233,146.6233,1219741
2018-11-15,146.5386,147.2463,145.4318,147.0213,147.0213,539966
2018-11-16,147.4771,148.851,145.6415,145.8615,145.8615,846231
2018-11-19,146.1799,146.4902,143.5441,144.1288,144.1288,1753578
2018-11-20,144.1189,146.2701,142.8432,142.9294,142.9294,2002255
2018-11-21,143.3293,143.6481,141.3287,142.3196,142.3196,1846386
2018-11-22,142.5277,145.5795,141.8796,144.8267,144.8267,773215
2018-11-23,144.8402,146.8902,144.3231,145.922,145.922,2010633
2018-11-26,145.527,148.7044,144.7748,147.856,147.856,1679244
2018-11-27,147.516,147.9632,146.6652,147.4433,147.4433,1469718
2018-11-28,147.5781,147.9651,145.8011,147.6888,147.6888,1424465
2018-11-29,146.8344,149.5972,146.5971,149.0116,149.0116,950807
2018-11-30,149.5387,150.7441,146.8685,148.347,148.347,593230
2018-12-03,148.414,149.6021,147.4216,149.2047,149.2047,2020744
2018-12-04,149.2527,152.5296,148.1961,150.8916,150.8916,2255665
2018-12-05,151.0258,151.3789,149.8466,150.2967,150.2967,1466878
2018-12-06,149.9436,151.6021,149.5029,150.247,150.247,3315422
2018-12-07,150.0177,151.1161,149.08,150.219,150.219,806257
2018-12-10,151.6406,151.6664,150.0481,150.1705,150.1705,744748
2018-12-11,151.1154,152.1853,151.0904,151.893,151.893,971103
2018-12-12,152.2074,153.1249,148.4815,149.643,149.643,923362
2018-12-13,149.2275,150.3134,147.5883,148.5323,148.5323,1283107
2018-12-14,149.0793,153.2029,147.6082,152.7471,152.7471,897710
2018-12-17,152.5978,156.5731,152.1699,155.98,155.98,775933
2018-12-18,156.588,158.0586,153.1126,154.1897,154.1897,1614288
2018-12-19,154.1944,156.588,153.6669,155.5828,155.5828,1287165
2018-12-20,154.7501,158.2657,153.0226,157.5001,157.5001,1072109
2018-12-21,157.1586,157.5998,153.3188,154.6675,154.6675,1770494
2018-12-24,154.1364,154.6995,152.6139,152.7375,152.7375,611529
2018-12-26,152.1372,154.584,151.3431,153.282,153.282,1534102
2018-12-27,152.7075,153.4732,149.5567,150.22,150.22,1156463
2018-12-28,150.554,151.227,149.3873,150.6838,150.6838,968874
2018-12-31,151.0672,151.216,148.9163,149.1158,149.1158,2074008
2019-01-02,149.5944,151.1243,149.1281,151.0118,151.0118,1331520
2019-01-03,150.998,153.4736,150.207,150.7363,150.7363,1961137
2019-01-04,150.5599,150.7191,148.7702,149.6227,149.6227,936168
2019-01-07,149.7118,151.707,149.1243,150.1441,150.1441,699240
2019-01-08,150.0366,151.3939,149.5566,150.713,150.713,820307
2019-01-09,149.6437,150.0412,147.4496,148.1626,148.1626,1152926
2019-01-10,147.8036,153.2786,147.579,153.2368,153.2368,928626
2019-01-11,152.538,156.4605,152.3157,156.3214,156.3214,2366009
2019-01-14,154.9936,155.4414,153.227,153.389,153.389,1429887
2019-01-15,152.874,153.4607,150.6303,151.0825,151.0825,994130
2019-01-16,151.1219,151.1554,149.6852,150.143,150.143,1447278
2019-01-17,150.4261,154.3023,148.5301,153.9391,153.9391,768954
2019-01-18,154.6818,157.8935,153.6803,157.2271,157.2271,1144475
2019-01-21,156.6382,158.5006,156.2934,158.166,158.166,1670065
2019-01-22,159.0916,160.5005,158.195,160.4071,160.4071,869652
2019-01-23,159.9581,161.8326,159.069,161.3234,161.3234,1392186
2019-01-24,161.392,161.4211,159.3614,159.9511,159.9511,815340
