Date,Open,High,Low,Close,Adjusted_close,Volume
2018-01-02,25.0761,25.4604,24.7391,24.7449,24.7449,209002
2018-01-03,24.9232,26.9541,24.3137,26.3528,26.3528,178567
2018-01-04,26.6097,26.8337,26.5687,26.7876,26.7876,253159
2018-01-05,26.5303,27.8408,26.1213,27.2685,27.2685,74026
2018-01-08,27.5332,27.6194,26.5724,27.0066,27.0066,221940
2018-01-09,26.9763,27.0312,26.4423,26.5029,26.5029,102507
2018-01-10,26.7713,27.6117,26.0559,26.5322,26.5322,127638
2018-01-11,26.7228,27.2263,25.8403,26.1836,26.1836,102069
2018-01-12,26.4972,27.4754,26.324,27.3653,27.3653,197374
2018-01-15,27.6269,27.7062,26.7605,27.2208,27.2208,116362
2018-01-16,27.0607,27.5021,26.1637,26.496,26.496,219867
2018-01-17,26.6506,27.0437,24.9293,25.6535,25.6535,147131
2018-01-18,25.3977,25.6068,25.0394,25.355,25.355,206329
2018-01-19,25.572,26.0492,24.6557,25.8687,25.8687,203476
2018-01-22,26.2512,26.3154,25.5819,25.925,25.925,168359
2018-01-23,26.0807,26.3199,25.413,25.5189,25.5189,250877
2018-01-24,25.5266,25.7784,23.2236,23.7245,23.7245,158438
2018-01-25,23.9585,24.323,21.5983,21.8653,21.8653,239551
2018-01-26,22.0084,22.1379,21.2203,21.9309,21.9309,92258
2018-01-29,21.718,23.2904,21.6713,22.6737,22.6737,369335
2018-01-30,22.724,23.3472,22.3425,23.3112,23.3112,163399
2018-01-31,22.9436,24.018,22.8338,23.7507,23.7507,146569
2018-02-01,23.3397,24.0875,23.158,24.0118,24.0118,120075
2018-02-02,23.9075,24.2225,23.8283,24.0817,24.0817,119350
2018-02-05,24.0351,24.7231,23.8239,24.6706,24.6706,182357
2018-02-06,25.1093,26.1127,24.7968,25.8614,25.8614,428142
2018-02-07,25.8493,26.8572,25.6833,26.6325,26.6325,282116
2018-02-08,26.6299,27.5356,26.4581,27.1061,27.1061,198479
2018-02-09,27.1728,27.7594,25.7993,26.7343,26.7343,329554
2018-02-12,27.0234,27.4541,26.6748,27.0792,27.0792,145176
2018-02-13,26.9626,28.9509,26.8315,28.335,28.335,196045
2018-02-14,28.6248,29.1303,27.9242,28.8319,28.8319,126867
2018-02-15,29.1396,29.1401,28.7007,29.1209,29.1209,247069
2018-02-16,29.1407,29.6564,29.1096,29.598,29.598,208263
2018-02-19,29.3622,30.3755,28.4259,29.6516,29.6516,241058
2018-02-20,29.7255,30.653,29.6949,30.4478,30.4478,144758
2018-02-21,30.5634,31.0032,28.7786,29.156,29.156,72259
2018-02-22,28.9879,29.6021,27.2365,27.4458,27.4458,311576
2018-02-23,27.1537,27.2467,25.8878,26.1428,26.1428,334454
2018-02-26,26.0311,26.6622,25.399,26.1566,26.1566,138888
2018-02-27,26.7591,27.0936,26.4946,27.0383,27.0383,138249
2018-02-28,26.9269,27.4829,26.5546,26.5847,26.5847,249705
2018-03-01,26.4934,27.1222,26.1066,26.9176,26.9176,196750
2018-03-02,26.7642,27.425,26.6915,26.8885,26.8885,95598
2018-03-05,26.8168,27.4175,26.4041,26.9035,26.9035,121140
2018-03-06,26.5078,28.7434,26.4687,28.3721,28.3721,135416
2018-03-07,28.1201,29.2058,27.4304,28.6783,28.6783,224695
2018-03-08,28.5383,28.7796,27.8913,27.956,27.956,52764
2018-03-09,27.9687,30.0465,27.7844,29.2952,29.2952,175179
2018-03-12,29.3587,29.5797,28.658,29.5026,29.5026,143016
2018-03-13,28.9948,29.8483,28.3396,29.1948,29.1948,151422
2018-03-14,29.4874,30.6809,29.0727,30.5354,30.5354,165580
2018-03-15,30.2629,31.0268,29.5696,30.4106,30.4106,312550
